Author;Komentar;Klasifikasi
Citra Arundati;cnjr kpn kk aym geprk tigl brnsunda bkr kulit aym nyh enak banget;positif
Rahmat Jatmiko;enak murah cari pintar management nya tau ingin konsumenn bodoh bikin hoak;positif
michael sebastian;sempet masuk lokasi dukung parah unjung cancel kecewa cicip menu nya bensunda end of the story;negatif
Keepug Channel;gitu orang kaya punya usah dimurahin biar beli pakai uang mantap usaha bersodakoh moga laris manis klrg rubenya moga sehat;positif
Rezha Aprillia;ruben it orgny sederhana rakyat wlp kaya jd usaha makan appn dbuka hrga trjangkau rakyat jd kalangn mnbli mncoba enak jg rasa dn bumbu;positif
Maura Rahma;bisnis emg gin biar murah beli alhasil untung dapat harga mahal beli dikit alhasil untung dapat suka bisnis ruben harga rakyat enak;positif
Davin ?????;murah bnget;positif
Anisatun Nafsi;harga rakyat;positif
miss lya;gak enak;negatif
Putri Tunggal;rbtermasuk mahalkarena bhn mknnnya pasar mahaltahutempetogedsn aneka sayuranmng rendangayam;negatif
Vinda Cherryblossom;mantul;positif
Lusi Fakhrizal;restoran artis harga benar ramah kantong banget kalang masyarakat umum segitu banyak ribu doang menu murah mantap bensunda;positif
shufie Yk;makan rasa itung itungan gue harga segitu murah ain bahan murah kelas jengkol usus berani masukin mesti pesan khusus dg harga sendiri minum beli jd tara warung tegal plus gue mah;positif
nuru zania;aselik ruben pintar banget bikin usaha murah riah orang indo suka diperhatiin tempat nya gak kayak antri jam makan ikan tepung patut tiru sih perhatiin parkir nya layan nya nyaman nya sempet liat belakang nyo orang wudhu punya non is loh tau gitu wagela sihhh nihh orang masuk tayang tipi alay sisi positif ajar ngembangin dikit benjawa bensulawesi benpadang kfc kawan kawan ketar tir tuh;positif
Jack Tantowi;kl mah jelas enak murah jamin kenyang beda rumah makan belah cetiiiirrr harganyaaaaa cuyyyy;positif
Aron Runtuwene;murah hargany standar cukup jangkau jdi kalang makan situ strategi marketing ruben sih orang indo makan gak kya orang korea indo makan mie instan bungkus kenyang beda dgn orang korea minimal bungkus piring standar tuh piring muat makan hitung indo gitu orangny punya rasa malu gensi dri sekian orang makanny hitung punya malu ambil gak abiz mubazir;positif
Betterman D Yonkuro;rb segitu murah banget sidan ge yakin nex carlos pikir masalah rasa lidah seluruh indonesiadan berfikir bakal bnyak food vlogger kesana;positif
è½è½;kak coba jayapura nama warung algano enak banget ayam bakar sambal nya pilih lalap nasi ambil;positif
Fatimah Bie;porsi gue recomended dg harga segitu si jadi pengin coba;positif
Safira Fira;murah banget unk ukur makan jakarta wort it banget harganyamakanannya enak mantap nex carlos;positif
kristi ratih;kali temen food vloggernya bilang enak la apalg gratis marah sih murah makan lbh enak biar lbh mahal dikit;positif
wina megawidi;suka banget deh makan ayam kremesannya;positif
kiffa aE;kayak enak;positif
ghina mustika;bener sih nasi uduk gedebuk enak ayam gue kalah dgn jenis ayam borobudur sambal tipe gedebuk pedas cocok jg dgn harga rb dpt tahu tempe;positif
Neo7 Oppo;gak enaaaaakk endoool beth kmren pas shoot sana ktmu kakanya sih nyamperin takut salah;positif
Adinda Salsabila;harga makan nya masuk akal beda banget harga rujak cingur surabaya;positif
hanifa octalia utami;bang lu pedas sambel lu kasih kecap mantap banget dah;positif
Christi Marnita;gua nyoba makan punya nex carlos gua tinjau jujur ny enak banget ayam ny empuk banget terus lembut anak gua klau beli ayam lamonggan kn keras jd susah nelen klau mah lembutttt banget ank gua suka jd yy bawa anak mah pulang cocok sih klau gua bumbu ny jg enak banget cm sambelny kmrn kpedesan hrg wort it gua maju terus bg nex carlos;positif
Suara Hati;murah lahh ayam koplit rb banding telor dadar kari doang hahaha;positif
One PIEC3;ngilerrr banget murah jdi jauhh banget;positif
woeland nst;tahu liat mantap gitu;positif
NAYLA SR;mantap bannggg;positif
angel stmrg;iya beneran enak banget habis porsi;positif
RaraKinara Noer;kek nya enak;positif
D. Rahayu;enak banget bang drh bang;positif
Winda Prasetya;murah pas ngereview nasi gila bkent;positif
mirza akbar;enak ayam soal slogan nex ayam salah wkwkwk;positif
Jesslyn Alvathea P;harga worth it banget;positif
maysa ultari;iyaa bang bener banget rasa kulit kayak mesen ayam kulit pisahin terus makan rasa kayak gitu dah top banget;positif
May Lestari;enak nih bensunda;positif
Lidyas Eka;wajar mahal tempat bagus mahal enak masalah masalah mahal enak;positif
doni tobaco;worth it sih tempat pondok indah mall pinggir jalan baru percaya;positif
err Ridwan;murah banget dah hitung mall interior tempat gitu hitung sewa tempat mall ukur gede gitu puluh ratus juta rupiah bulan banding warung tegal makan pinggir jalan sewa tempat jauh murah jadi bayar sewa tempat;positif
vini enoviadewi;mahal ramai brarti worth it;positif
iis ajahh;pim harga segitu mah diitung jangkau enak ramai wkwk;positif
indri nozawa;mahal ramai banget berat emg enak;positif
tini Tini;dipim harga standar pim pim emang restonya lbih mahal banding pim murah pim foodcourt area just matter of choice;positif
renita tyas;worth it sih tempat pim makan rata segitulah harga tempat nyaman makan enak wajar si dihubungin politik ka ken grat ngereview makan sukses dua;positif
afika bugis;mahal porsi lumayan gede auto kenyang porsi;positif
resty dian;pim emang makananya enak banget jadi pilih mallnya tahu kalang tengah atas jadi messsquuueeennn doa biar cepet kaya raya;positif
nukke idrihapsari;mahal enaktempatworth it;positif
Riiya Merriey;kelas chef kerja sandiaga mah top pasti chef sembarang tes panjang kerja sma sandiaga uno;positif
Rose Rosie;mahal kaya worth it deh bintang ny lumayaaan arti enakkkk;positif
eka bawanti;mahal tetap ramai;netral
PIPIT W TYAS;gua mahal bahan makan nya tempat nya emang nyaman enak tempat ti;positif
Darma Wulan;emang mahal kak ken akhir makan pas raya ulang tahun gue habis worth rasa sih enak;netral
Dowan Levisto.S;standar harga resto;positif
Lysa Juliana Official;mie jawa nya allah;positif
Dhita Febrianti;makan nya si mahal nya missqueen hiya hiya hiya smackqeenmissqueen;positif
Nabila;mahal wajar pim broooo sewa tempat sistem sewa pajak bangun restodll gaji karyawan listrik harga porsi rb gulung tikar bro;positif
Hanif Anzahan;mahal rasa sanggup;negatif
Dhedew Vivian;mie kangkung enak tuch;positif
Rahmi chanel;mahal soal kere sobat missqueen wkwkwkwk moga punya duit makan porsi ratus ribu minum teh hangat ribu pakai berfikir sayang duit;negatif
Erlita Putri;harga mahaltempat bagus cozy makan lumayan enak yaa worthed nongki wkwk;positif
khayala Zhakira;wajar harga wajar komentar sandiwara nasi ayam dijakarta lbih mahal dri singapura haha banding pakai restonya;positif
Ando;keren keren;positif
Adhy Sunjaka;harga nya lumayan murah pergi makan gebetanpacar;positif
Tria Amalia;mahal nasi campur ribu plus minum kwkwk ni an murahapalagi tempat bagus;positif
Mahbubah Farms;enak tempat mewah mahal gapapa;positif
aninda chaerini;wajarr mahaal tmpatnya keren pim wkwkw pajak mahal wkwkw pnggir jalan;positif
Lidia Lidia;mahal ramai arti rakyat indonesia makmurrr;positif
Indra Koes;mahall;negatif
Ewitra Ewitra;ramai arti emang enak mahal enak plus tempat nyaman sih maslh bikin dongkol;positif
Anton Ika;aduh mie nya kaya enak banget;positif
e Ä± â±´;emh kayak enak;positif
Meggy Luan;emg makan enak tempat asik wajar klo mahal emg enak;positif
andek asapary;mahal banget yaa liat emang enak sih;netral
Karina Ismail;liat enak tempat jg cozy harga segitu;positif
Febryana Arinda;worth it banget tempat oke terus enak porsi lumayan besar;positif
Deyus Ansori;emang enaaakk;positif
Sunartika Tika;wajar mahal timbang tempat menu bahan porsi suasana tempat gak pamer petnah makan tempat mahal gak worth it;positif
Sayumen Manao;mantap betuuul;positif
indah callistha 92;lestoran kelas atas bilang murah gaji juta bulan berfikir keras makan jd komenlah sesuai bujed;positif
Rizky Azhari;kak jgn ribut mahal tempat nya mahal klo liat dri porsiramenya resto emg worth it mall mewah wkwkwk;positif
vanya Alverissa;mahal mah standar sesuai kelas;positif
Milawaty Elfira;restoran mahal nyinyirin tempe gocengan;negatif
Bilabia Anugra;mahal nya;negatif
Holanda Desy;makan mahal wajar tempat nyaman tangis renung miskin;netral
Fadira Nurohman;mahal tempatmya bersih enak jadi masalah makan situ;positif
Khanza khairul chanel;haha mahal bngettttt gen tambah cepet kaya sandiaga;negatif
arlita dzau zachra;segitu mahal gue kesana tempat oke punya makan enak tuh mie jawa nasi kecombrang nya mantul haha bilang mahal mending pim beli tahu kres;positif
Handika Nur Hidayat;kyone mknane enak jg tuch;positif
Diana Meirani;mahal enak tempat bersih layan harga sesuai layan rasa hebat pak sandiaga uno;positif
Wienk kurniawan;yaelah worth kali tempat enak makan enak elah ribet;positif
Sri Ayuni;mantap;positif
Muhammad rafli;wajar mahal wkwkkw porsi;positif
Zhen Channel;harga mahal sesuai tempat si standart ka porsi tampah rasa kecewa tempat;positif
DulWithJon;mahal harga;negatif
Nitol Lovato;restoran mewah nyata mahal really nigga;negatif
Eva Wulansari;maaf yah klo gak mahal standar restoraunt nyaman tempat sok kaya yah makan bandung dresto nasi goreng rb nasi iga rb;positif
Bep styles;liat enak emang worth it;positif
Rifqi Abdul aziz;es teh rb mana tempat worth it teh ocha marugame udon mall rb an gratis refill;negatif
Giar Rachmanto;makan nya harga segitu porsi rasa enak wajar tmptnya kudu lihat wajar harga mahal wajar gua cm teh tawar jd klo makan keresto mahal jgn pesan es teh manis es teh tawar culun mahal masuk resto harga segambreng minum gituaaann hahahaahaha rugi;positif
Veronica;gua situ enak banget cakwe nya;positif
risma wati;ramai makan dsna biarpun mhal brrti enak kykny menu;positif
Azmi Virda;mahal karna posisi tempat nyaman makan enak servicenya bagus;positif
Nayla arfina ,Alyza fayza;mahal mahal ujung jadi eek jg;negatif
Desi ismaya;wajar mahal pim mas bro mba bro penting mahal kualitas bersih rasa enak gak bohong;positif
Sri Ekosetia;mie and cakue bikin ngileerrrr;positif
vioren leorensia;kmi warget murah banget;positif
nur azizah;mahal;negatif
Eli Lutfiya;coba worth it banget sih emang lumayan over all suka;positif
Zuhair Azmi;gilakk mahal banget njirr;negatif
Nur Hanifah Rachmawati;restoran mahal kawan haduhh;negatif
DeWi ReOg AE;mahal banget;negatif
rusydatul mursyidah;worth it siy mnrtku kr biaya sewa pim tau yaa kliatannya bahan masakanny berkwalitas kliatan udang besar coba siy cm lihat ekspresi wajah ken grat pd makan;positif
Sarah Sohibie;harga wajar;positif
Ninis Bahrul;wahhh harga mahal nnti kalok da jadi wakil presiden mahal hmmmmm;negatif
Chel Jun;hmmmm mahal;negatif
Sufia Qonitatilla;mahal kak;negatif
Hances Sinaga;ukur nasi kecombrang mahal harga;negatif
buby sofia;ku mahal pas dg porsi lauk nya rameh arti murah sesuai dg tempat rasa;positif
Ria Nanda;mahal banget;negatif
mitha sabrina;mahal mahal kali karna tempat nya mewah makan nya enak bahan baku nya baik pilih asal asal bahan bahan makan nya;positif
Susi_army kookie;mhal sekali mhal pol;negatif
Bernadetha Silvianaa;harga mahal enak tetap worth it;positif
decil ftr;set dah teh hanget air nya pakai air wudhu kali mahal banget maaf sobat missqueen akutu;negatif
Reno Alexander;gak mahal anak kosan gak rasa mahal porsi rasa enak tempat mewah mahal mahal tuh tempat bb rasa gak enak porsi nya kucing gak kenyang medan kek gitu gak sadar riba tipu jus harga rb manis gelas besar pipet pop ice gondok jual kekgitu;positif
Rama Yani;enak tau situ;positif
Aleandra luna;harga segitu porsi tempat bagus kurang wajar coba mahal tinggal hindar makan mall besar geng cocoklogi terimakasih tinjau kak;positif
Yani Trisnawati;standar itumh hrganya;positif
Sinta Meranggi;enak harga spesial sesuai;positif
Liya Shabitah;mahal;negatif
Wahida Sedhim Birliani;mahal;negatif
Ami Gimun;mahal;negatif
Agus Hidayat;mahalll banget;negatif
Sayang Aidan aidan;gue mahal;negatif
Fity Evilya;ah restoran mahal rasa gak enak;negatif
Annisa Aprilya;mahallll;negatif
Muna Savitry;waahh kereenn;positif
oka agustinus;mahal;negatif
Nur Azizah;menurutt si mahal untung kalang orang;negatif
Nizam Tia;mahal banget si;negatif
Yusianasafitri Ritanti;kesitu pas bayar kejut heran heran pingsan enak sih enak gue orang missquin jadi heboh pas bayar kayak maluin gitu;negatif
Teguh Jefri;jadi many plastics there perlu timbang pakai piring gelas sendok garpu beneran dine in;negatif
Fatimah Azzahra;lebih guna plastik plastikin;negatif
Hanifah Ifah;mahal bayar tempat bro konsep resto gin cocok jenis makan cafe jenis western food jenis makan gin hrsnya buat simpel masuk makan hari orang indo nasinasian thats my opinion good tinjau ngomong ngomong bro;netral
gacha abigael gabriella;otak gue varian makan salted egg gak hasil telor asin telor asin rasa telor asin gue top makan original si telor asin;negatif
shania tomubali;restorantempat makan coba kurang plastikkaya starbucksmcdini dapur asix plastik sedih;negatif
Mutiara Miftakhul;gue suka telor kaya gtu tengah mateng;positif
Imada Alfinnisa;wajar serba mahal dri tempat tunjuk kalang tengah atas daerah menteng sewa tempat daerah situ mahal cari untung dngan naik harga makan dngan harga segitu gue prefer makan tgi fridayunion pim;netral
Christina f4 Ngutra f4;tuju banget soal parkir ngeselin banget soal;negatif
Putri Nabilla;terimakasih jwestbros meriview tempat alhasil buat kesana masalah parkir cost nasi fact;negatif
fahmi Ramadhan;medan sepi warung asix karna mahal yaa;negatif
Excelenanda Chel;mahal nyaa;negatif
hani Hidayah;sepi awal doang ramai;negatif
abdi abie;plastik anjir;negatif
yusira 0898;gue jg rasa gitu nasi kurang jd kayak nanggung gitu;negatif
dina mei;sayang sampah plastik jd yaah;negatif
Aziz Hidayat;enak salad buah hehehe makan ku beli minum;positif
dina aulia;gak demen asix;negatif
Revi Indahfd;gue nyobain dapur asix sofar makan emang nasi nya banget parah gue masuk orang gak makan nasi makan dapur asix gue rasa kurang nasiny kenyang tambah malu wkwkwk;netral
Rifqi Abdul aziz;just my opinion lokasi jalur bisnis banget jadi harga makan mahal porsi;negatif
Alma;just my opinion lokasi jalur bisnis banget jadi harga makan mahal porsi;negatif
Esza M;sendok murah banget jijik klo pakai sendok kayak gtu asix terlalu;negatif
Nayla arfina ,Alyza fayza;mahal bener kaya resto pim;negatif
Luthfina Septa Anisa;gua pesan via grab dapet diskon ayam cabai ijo well dapet diskon grab gua asa worthed banget dgn porsi perut cowok;negatif
Jualan KAOS;mantap bang;positif
Fashion Girls;tempat bagus gue jd inget skye makan;positif
so close;tutup makan minum nya plastik sedot plastik bungkus lauk tambah plastik sendok plastik;negatif
Sancha Christiana;sofia gunawarman bang hotel jg makan mahal banget emang kelas sosialita gitu dibawain ibu chicken wingsnya alot hambar;negatif
Erma Nursabrina;tuju ko nasi kurang harga mahal;negatif
Sri Wahyuni;porsi emang dikit banget mgdalenaf habis porsi porsi nasi sendok makan;negatif
Winda Prasetya;alas utama harga mahal cuman satu sebenernyakebanyakan garam;negatif
Nur Mala Rafi;parkir;negatif
mei mei;luar negeri bikin resto bagus kenal masakan indonesia indonesia bikin resto kyaknya gak tarik yah;positif
Warsida Manduri;makan liat tinjau influencer pas nyobain bb cenderung kurang imbang dg harga segitu kualitas rasa jumlah porsi;negatif
Dewa Gede Rama Putra 05;pas kesini takdir ketemu mas anang bang gojeks emak pd ramai minta foto asli sih parkir susah banget isi vellfire jeeprubicon brooh makan bb sih ahaha diksi victor lucu dunia pertelorasinan;negatif
Shintia Abdinoer Gunawan;elok makan pinggir jalan mura sedap artis cuman jual nama sedap mahal;negatif
jesica Subekti;restoran lihat bagus guna plastik;netral
Nani Sugiani Sugiani;ka cobain makan bebek goreng bulakkapal bekas timur deh ramai enak banget;positif
Carla Chaniago;mahal mewah tempat wadah makan minum cma plastic sedih;negatif
dewi indra;iyap kak nasi emang banget gede bowl;negatif
aqila naifa;cumi emang enak kak dlu punya outlet apa nama jual lauk kilo gitu jg ekstra cumi item pare plastikin vakum jg mesti mending beli lauk sih dlu sekian dpt banget makan hari lbh;positif
muhammad ALFIAN;geprek bangsus ayam geprek murah gilaa enak guys coba dapet ayam crispy nasi cukup kenyang sambel nya mantab pedas kayak cocot tonggo wajib coba kota sby;positif
Dhido Hernandez;kemas ny ramah lingkung banget knp pakai gelas piring of course cuci seengganya nambahin sampah plastik;negatif
Neng Verra;kayak gue gabakal makan sana gileeee mah restoran orang males plastik semuaaa sedihhh;negatif
Rofik Nurahman;kadang gue rasa tinjau kaya tebang pilih klo dateng tempat kerabat gapernah nyinyir kaya datengin tempat artis emg besar nama segi makan jg kurang ttp liat gak fair klo beri tinjau bagus ttg tempat klo tempat kerabat beda tempat kerabat opini yaa;negatif
Ryan Ardito;jujur pak jual makan kgk hubung tempat parkir judul for food sake ambience interior contoh singapore michelin star restaurant tempat food courtkelontongan orang makan antri panjang terus makan pikirin tempat ber ac habis makan pulang;negatif
Angeline Martcella;gue beli rb gue sih mahal gue beli cumi cumi cuminya sesal sih beli inti enak mahal pelit;negatif
Defi aristika;coba foodz dongs cipete punya nya andanu prasetyo punya beli toodz house bang tau verdict nya gak sesal deh;positif
Karen Widia nata;mahal banget mending makan diwarteg pinggir;negatif
Nadia Eka putri;bener tuh parkir nya mahal parkir servis makan self servis wkwkwk;negatif
Ady Jaya Safutra;saus salted egg ayam asix lumayan tasty;positif
Siti Nuraliah;coba deh pakai paru mercon pare nenek manteeeep;positif
Rohayati Rodiah;wajar sih range harga makan minum sana harga segitu lokasi pusat daerah pajak tempat mahal;netral
Kadek Eni;iyaa gue gitu kak nasi kurang terus timun cuman satu rasanyaa enak banget hehehe;netral
Sadboys vALLen;plastik nya sedih rasa nya;negatif
Rhicha Nhovea;mantap nih;positif
Mhmmd Yusuf;makan dapur asix makassar nasi nya keras banget;negatif
Eka Adrian;packagingnya bikin gue banyak single use plastics;negatif
slamet budiarto;jujur sekian kue artis enak kue sih asix sih;positif
MadameKiky;lebih plastik sedih yaa liat;negatif
Menata Hati;mahal asa gue ukur segitu tau gwnya miskin;negatif
Aryati lambert;sampah plasik jadi banyakkkk;negatif
just hooman;kemas nya kayak beli makan bazar pamer gitu dine in sendok plastik nya kayak sendok plastik kemas nasi kuning kotak ribu;negatif
adelia laras;makan mahal mahal fasilitasny interior ny artis;negatif
anik waelach;tfrlalu sampah;negatif
Mohammad Yusuf;gue tuju ma brdua ka porsi ny banget iris timun kertas;negatif
Stefanie Raranta;mmm gue makan situ nya enak karna gue cuman pura pura nge vlog rasa enak cumi nya enak pare nya enak pas dateng gak enak;negatif
Mitra Hosea Nasution;plastik nya banget;negatif
Qq Amaliah;makan dsni but enak porsi dikit harga mending gue makan grand indonesia harga segitu jls but pertma akhir gue makan dsno;positif
Mita Dyah;wooo banyak plastik;negatif
Nia NA;iya sih pack bersih rata jatah kurang ramah lingkung deh;netral
Bang Utha;beli sayur pisah kasih mangkok sayur mending beli sayur nya pulang pakai nasi panas makan wc bau banyak makan pete nya sana;negatif
Puss Puss;wakacaw asin;negatif
Carolina Octaviani;mending piring sendok ajaplastikny banget baik sehat;negatif
INDRA KHAN;tuju nasi kurang;negatif
very annoying;enak emang aga pricey worth it;positif
veni Official;makan artis rasa ampas harga mahal manfaatin kenal nya kali cari uang tambah;negatif
okky tiara;waktu gue pesan pare nenek nya emang asin banget parah;negatif
valkrisda botha;nyobain lurik coffee kitchen punya ussy sulistiawati kata enak banget;positif
echa eko;salad nya juara tuhh coba dehh;positif
Nadya Indah Dwijayanti;sumpah liat dapur asix depok margonda tempat banget beda jauh menteng;negatif
Florasia Wedding;liat tempat oke packaging makan banget dine in rasa take away haahhahaha;netral
Jasmine Gunawan;mahal gak enak gak kenyang makan situ;negatif
Annisa Haryanti;restoran hasil sampah yaaa;negatif
Rareform;sendok plastik nya bangetttt;negatif
Santi Oktaviyani;tinjau dapur asik nya mantul banget tinjau wisata kuliner pecenongam hehhe;positif
izzaaaw;muantap;positif
Kasih octrivina;nasi emg kurang;negatif
Karnelia Laksmi;restoran gak pakai cuci piring sendok garpu besi gelas tinggal buang bener self servis yaaa ujung bakal sampah gak sih cup gelas tutup mangkok makan sedot hemat air tenaga biar gak nyuci banyakin sampah;negatif
Dimas Bayu Ajie;restoran untung gatau harga makan minum;negatif
Neige Channel;coba in ikan bakar mayor enak ikan kerapu bakar nya;positif
Rianti Dwi;mahal sih segitu isi rada dikit yah plastik nya kamera bikin pusingblur focus blur focus banget awal;negatif
Rendy Hakim;cumi pelangi kayak masakan rumah enak cumi pelangi nya pakai cumi asin tum pakai cabai bawang pakai telur mata sapi quantity worth it banget mending beli nasi padang sih;positif
Eza muhammad 99;over priced harga porsi upil;negatif
Tasya Dika Rindani;soal gaada ppn jd kyknya emng sengaja mahalin makan minum parkir gue kali kesana kena valet sisa parkir klo kena valet jg nentuin harga bisa gue kasih an gue hoki an si klo soal parkir makan las makan emng gue enak kurang;netral
chika agriana;emang sih usung tema self servis guna plastik even sendok seengaknya gak butuh waktu nyuci apalg dine in sayang gitu gak eco friendly ngomong ngomong kesini pas lg hype iya bener porsi dikit diitung suap kaya hahaha;negatif
Story Masak;baru tau parkir mahal order via grabfood biar diskon isi pas gak gak dikit rasa enak coba menu sih ongkir grabfood cuman rb jd gak usah bayar parkir mahal;positif
Rasya A;pesan telur tengah mateng waktu gue beli ditawarin mateng tengah mateng masakan cumi rendang enak sihh;positif
buluskepikable;suka cakalang cumi item dapur asix porsi kurang dikit makan kadang kurang banyak;positif
stella santoso;emang kecewa banget gembar gembor enak pas coba super mahal super dikit porsi super bb zonk baru coba persis alam cheesekune nya kering ring ring kaya karet mozza nya nomor taste dannn rekomended emg kulit nama kulit enak la diapain jg goreng jg enak wkwkw gaenak mah terlalu kulit super mahal lg hadeh;negatif
Onel Karmela;kemaren coba kali jujur tiga kali rasa tiga cheese tsukunenya melted harga gue tuju mahal habis kurang worth it gue bikin sesak banget beli chicken skin tsukune cheese tsukune nasi dah rb;negatif
sengaji;baru kali liat ente tinjau makan selera makan sumpah banget kayak warung pinggir jalan;negatif
Cindy M;food court tusuk sate ribu indonesia singapore mahal donk orang duit;negatif
niken lestari;cobain rasa gak enak banget mahal better usah coba sih klo coba;negatif
Isabela Anjani;mahal banget sih ku;negatif
michael zhang;bro coba ayam telukgong murah enak qualitasnya kayak kfc;positif
Adriana Lima;toriyo enak banget gilsss gue br nyobain market museum kemang ramai bangetttttt;positif
Joe Marthadinata;mahal;negatif
zalfa kamilah Suryani;koh minta tinjau lidah fried chicken master blok plaza gf gila sih juicy banget bumbu resap dalem turut;positif
indra nuwansyah;harga masuk akal too much;negatif
ARI HIDRIJANTORO;cobain yakitori kado ayana weekend buy get baru beneran yakitori harga gak mahal;positif
Geflunk;mahal gak enak;negatif
zea mays;sate ayam dry karna bakar duluan jual bakar overcook klo diam jdi kering hidang bakar ulang panasin smakin tambah kering keras jadi;negatif
janottama _;harga gak worth it;negatif
Arsenal Army;porsi tambahin sate lgbaru worth it kao kata gue ngomongin enak relatif yaselera orang beda masalah cara tiris minyak benerstock banyakbagusnya sih sedia tengah matengtrus keju daging tebal jadi diperhatiin masak biar matengnya pas over plus keju melt;netral
Wi dodo;harga tara torigin mantan presiden soekarno habibie megawati makan tokyo yen ribu rupiah tusuk sate ayam enak cobain klo main tokyo;positif
lala haha;turut bumbu medok baaanget banget sih buat waktu beli nasi pakai nasi kaya bakal oke harga chicken thigh chicken skinnya yaa oke la cheesukunenya man too overprice sih turut wkwk;netral
shanty sadipo;masuk mahal standart hrg nya kota besar tempat madiun jatim hrg nya jg segitu mahal;positif
Nita Sari;kerenn prilly niat banget sih keren enggk asal;positif
Mariana Priyadi;resto artis murah engga murah niat banget nih nama asli bisnis dar jual nama;positif
Muhammad Yaser;ko kynya enak harga jg jangkau jd nyoba;positif
Kiki Novira;suksesss terus kak prilly enak banget nona judessssss;positif
Febri Lina;duh enak cobain dapur asix punya kluarga anang ashanty kak ayam ijo nya terus pare nenek teri nya heheeee;positif
Putri Puput;ngiler kak reviewnya kata enak bikin penasaran;positif
Wian Amanda;murah murah yaaa makananya buka kendari sulawesi tenggara;positif
yuliana gengu;mantap nona judes idola bangat jadi jauh nhe sukses reviewnya kak dua;positif
Wina Febiana;turut dgn harga rb paket ayam wahhh banget ayam gede nasi pas goreng jg mantappp;positif
Sridaily Daaa;harga murmer yaaa ughhhhh ngiler liatnyaaa;positif
J'aS CHANNEL;murah banget kalang artis;positif
Nur Halisa;murah banget kelas artis;positif
Parameswari Primadita;kesini masterchef restonya mas kaga murah lo segitu soal kota besar;positif
Rifda Farisa;favorit ayamcrispy sambel gledek tempe mndoan makan bocah kangkung nya jamin enak bagt;positif
bangtan wifeu;kek enak dehh ngilerrr;positif
Anjas Yanuar Pratama;enak kaya;positif
aisyah Hardiansyah;murah murahh bngtt pas kantong jdii hmil sayang ny cikmpek;positif
Erick Apriana;haiiii coba ayam bakar bal qui daerah cilangkap raya nomor cipayung jakarta timur wajib coba sambel nya enak banget yeah wajib coba;positif
penelope 98;sumpah ngiler deh gua nyobain sambel kecombrang sambel matah kesana ah;positif
Saman 1521;murah lohh segitu mahh ayamnyaa rb;positif
Jihan Firyal;ngiler;positif
Eli Purwasih;ngiler banget;positif
Ekasha Putra;kayak enak bgtttttttttt goda saji;positif
Ilmi Nafiyhati;lumayan murah kynya mantap banget nihh jd ngilerr jepara;positif
khoritun Nisa;beli rasa ng rasa hambar ayam geprek nya terus cumi nya asin doank rasa ng gurih nya sesal beli nya wkwk;negatif
Maesinta febi;enakkkaku waktu main main kejakarta mampir kesini makan mwnurut cabe enakayamnya mantap gamahal;positif
sekar wangi;duhhh enakehh;positif
Tia Dwi Larasati;kaa nyobain ayam penyet daerah pondok cabai jl cabai top markotop banget sambel nya;positif
Najma Njm;enakk bangett liat;positif
Black Tea;makan artis recomended;positif
GI RolinG7;sambel matah sambel kayak gtu bentuk;negatif
CHOi GAMING;murah riah yah;positif
CHOi GAMING;murah riah yah;positif
Dessywulann_ofc;bikin ngiler;positif
å»ç½å¨;aduuh ngiler;positif
kernway;tarik gitu mahal;positif
may hany;lumayan murah harga jangkau;positif
Adek wahyu Ilahi;wuiih enak bener kayak nya;positif
Cicka Abna Firdaussy;ngiler;positif
Rifki K;enak bettt;positif
Naufal Rasydan;enak banget ni kynya;positif
Putri Anggi;murahh banget kaya endedss bikin ngiler;positif
tata rahayu;pengenn bangettt yaampun;positif
Seli Ade Permatasari;tempe mendoan enak kenyel karna tengah mateng doank goreng ka;positif
Dapoer Lestari;sambel sambel nya bikin ngilerrrr;positif
Indah Mulyana;jadi ngilerrr enak banget pastiii;positif
Gracia Yose;kak cobain warung spesial sambal sambelnya enakkk jamin;positif
Endang Siti Rahayu;murah banget harga kykny enak;positif
Linda Hidayanti;porsi nya harga segitu masuk murah bat dah;positif
Iis Qori Lestari;ayam jerit titi kamal kakkkkk kata enak banget jd penasaran riviu kak kengrat;positif
Cita Serfiyani;murah ngomong ngomong harga rasa kayak enak moga buka surabaya;positif
yuliani nyun;emang nona judes juara dapur asix ashanty enak banget ayam sambal ijo;positif
Rizki Ramadhani;kak cobain nasi pedas nya lola amaria kata enak banget;positif
rania calista;kagk enak;negatif
frans rald;wow kek enak banget harga jg jangkau;positif
andek asapary;enakk banggat yaaaa;positif
Atikah Atikah;murah termasukx;positif
Hanan Official_Triboy;suka murah rasa nya murah;positif
Ahzer Jer;worth it mahal sih porsi segitu;positif
Naomi Dessiany;ko ken ci grat bandung rumah makan sunda jual gurame kuah merah kaya gitu enakk banget nama dapoer pandan wangi bandung yu ka biar refrensiii makan;positif
Neo7 Oppo;harga murah;positif
iis ajahh;aduh ngiler gue;positif
eka bawanti;murah hargax;positif
Ewitra Ewitra;gue coba rasa gak enak teh manis nya bikin sakit tenggorok megecewakan;negatif
Meggy Luan;sayur bunga pepaya enak;positif
Febryana Arinda;liat enak banget makan pakai tangan ngilerr;positif
indah callistha 92;iya bener banget sambel kecombrang tempe mendoan nya enakkkkk bangett;positif
Holanda Desy;klo kuah pedas cobain sop djanda deh enak;positif
